0x29BB96AA 0x54C7CD80 0x4523195E
0x966FA90E 0xD1FC5F82 0x8FE42D6E
0xC92CAA09 0xD2FD8D99 0xBB9BCF5A
0xC487F175 0x095C698B 0x25E2AA81
0x3EB8034A 0x757730A1 0x75706052
0x2B06E56E 0x5BE9B0D8 0x01B00E6A
0x5529EA9F 0x52DC948C 0xA7019749
0xE71B16A1 0x92E893FA 0x3B8600BC
0x59989860 0x4CE9547B 0x1EA3B70A
0xCB3767FC 0x1C18CD4B 0x2F9AB78E
0xF096A41F 0xA21384A6 0x4D22A00A
0xAA267026 0x88A05983 0x62D28257
0xCA03452E 0xFB630F90 0x63514171
0x9F2DFCC9 0x5C5B02FC 0x3725E2B6
0x2E833ADB 0x37B11F1C 0x0380FC9F
0x367DEA04 0xB9C2C5A5 0x3398CC6B
0x9BC4D5D4 0x71E8B2DA 0x1472658E
0x5E2A37EB 0xD3403B05 0x49C29A29
0x73898266 0xDB218501 0x00D25800
0xF57EFA85 0x8CC69B82 0x81543A18
0x0E67FC00 0xFC05CA51 0x2E96AA75
0x6F2F23E4 0x05495F70 0x2D86502D
0xE19252D9 0xC3FB84AA 0xB1183669
0xEC5336AE 0xEA4C1151 0x31EBE575
0x239F0A0C 0x9BFC33A9 0x3BB87E22
0xAD915548 0xA89C2014 0xC57B1882
0xF2CC6ABC 0x4C6F4280 0x5D20B46D
0x93844CC9 0x11B892F8 0x116C24A1
0x565F027F 0x6090A28B 0x71ABF046
0x6D5E6AF9 0x472F4EA6 0x4FD43A9C
0xAF7E1BCB 0x143D0CE7 0x38307872
0x0822D585 0xFA02AD10 0x07D154CD
0x019A31C6 0x87D96593 0x59645C2E
0x9B4CD356 0x563650BB 0x4D09DE13
0xA5C8B5E4 0x13096B50 0x24914F29
0x533B74E7 0x83366C95 0x1D126503
0xA9081839 0xC646574C 0x3DC0A751
0x607C1198 0x534C9412 0x88491E42
0xDC2885BE 0x709B48BB 0x87118017
0x118CA351 0x268FA848 0xC7103E86
0x6A26C851 0x85348819 0xC81C3396
0xA275129E 0x20647086 0x070A995F
0xC95A8637 0x2A878A7A 0x51B04598
0xBB700786 0xB50251A0 0x4C6CCF63
0x0B613201 0xF0E89F59 0x7C71C191
0xD618A1E6 0x10882C99 0x3764F10D
0x5D18B866 0x17817FC7 0x3856C60F
0xEC54538D 0x1298C8DB 0x8B196962
0x8BAF93DD 0xB3552E27 0x8D19308D
0x8C36CA3C 0x9BB7AC32 0x03BC2474
0x2B31EA68 0xDC49C8C1 0xCEC8F811
0x3E1821F4 0xA3C59114 0x39A47136
0xBF5EC7F6 0xC725B06B 0x8FE674A9
0x35A693FC 0xA1BC8127 0x83407B84
0xE3AE48A4 0x46653D25 0x151AF57E
0xC67726BE 0xB3FC53E1 0x6CB4DC71
0xBD1FE90F 0xEBA837C2 0x4326289D
0x70A2E920 0x02D0CC4C 0x843016A1
0x6BB87BB6 0xBCE60614 0xB195517A
0xA5339A19 0x34D5A02C 0x65CBA207
0xFA3725DF 0x93AF4018 0x343CB317
0x178F4405 0x326B0430 0xCA095090
0x41222C8F 0x020D3695 0x4E79F79C
0x76492829 0xB6DC35C0 0x94BAEA64
0x57CA766C 0x1BA5A3FA 0x70ACF7A9
0x7A8FF921 0x84848084 0xA8812B89
0xB8B3B7A2 0x0289A627 0xB410C26C
0xE8BB9192 0x9A9D4431 0xBB669A50
0x7B7A1647 0x7B0363C1 0xBD41F0A4
0xEE3AD6E4 0x7C0401D9 0xA0727D75
0x8F5B103A 0xF451ADC2 0x29063224
0x095284FD 0x050F99CA 0x5AA0A06E
0x9BB0D3EC 0xC06D7539 0x646ABD58
0xB62317F7 0xCC3DC479 0x915B0A5F
0xC2CBE4C7 0x97FB21D8 0x02DB1273
0xE1C14775 0xC68D3B15 0x9DE39B78
0xDD570821 0x89854BA7 0x51D6A53A
0xF826618F 0xB0BD88A2 0xAFAB51C2
0x7E1F7C13 0xD200631C 0x3341065E
0x04370A8B 0xC5641870 0x3FB96742
